"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"ECTE","Echo Therapeutics, Inc.","1.476","$16.43M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ecte"
"SATS","EchoStar Corporation","50.25","$2.22B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sats"
"EEI","Ecology and Environment, Inc.","8.8315","$38M","1987","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eei"
"ESES","Eco-Stim Energy Solutions, Inc.","6.25","$42.41M","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/eses"
"EDAP","EDAP TMS S.A.","3.09","$76.83M","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/edap"
"EDGW","Edgewater Technology, Inc.","7.01","$81.39M","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/edgw"
"EDUC","Educational Development Corporation","4.3","$17.3M","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/educ"
"EFUT","eFuture Information Technology Inc.","5.055","$20.17M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/efut"
"EGAN","eGain Corporation","3.23","$86.19M","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/egan"
"EGLT","Egalet Corporation","9.66","$167.35M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eglt"
"EHTH","eHealth, Inc.","12.15","$217.58M","2006","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/ehth"
"LOCO","El Pollo Loco Holdings, Inc.","26.49","$991.27M","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/loco"
"EMITF","Elbit Imaging Ltd.","1.37","$1.89M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/emitf"
"ESLT","Elbit Systems Ltd.","78.62","$3.36B","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/eslt"
"ERI","Eldorado Resorts, Inc.","7.1","$329.63M","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/eri"
"ELRC","Electro Rent Corporation","10.82","$260.82M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/elrc"
"ESIO","Electro Scientific Industries, Inc.","5.7","$173.25M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esio"
"EA","Electronic Arts Inc.","59.33","$18.39B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ea"
"EFII","Electronics for Imaging, Inc.","42.1","$1.98B","1992","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/efii"
"ELSE","Electro-Sensors, Inc.","4.25","$14.43M","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/else"
"EBIO","Eleven Biotherapeutics, Inc.","13.31","$241.02M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ebio"
"RDEN","Elizabeth Arden, Inc.","14.03","$418.26M","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/rden"
"ESBK","Elmira Savings Bank NY (The)","19.9","$53.83M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/esbk"
"LONG","eLong, Inc.","17.52","$629.76M","2004","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/long"
"ELTK","Eltek Ltd.","0.9101","$9.23M","1997","Technology","Electrical Products","http://www.nasdaq.com/symbol/eltk"
"EMCI","EMC Insurance Group Inc.","34.66","$474.64M","1982","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/emci"
"EMCF","Emclaire Financial Corp","25.48","$45.41M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/emcf"
"EMKR","EMCORE Corporation","5.43","$174.34M","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/emkr"
"EMMS","Emmis Communications Corporation","1.46","$63.61M","1994","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/emms"
"EMMSP","Emmis Communications Corporation","11.8","$15.71M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/emmsp"
"NYNY","Empire Resorts, Inc.","5.37","$250.69M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/nyny"
"ERS","Empire Resources, Inc.","4.48","$39.19M","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/ers"
"ENTA","Enanta Pharmaceuticals, Inc.","35.11","$655.87M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/enta"
"ECPG","Encore Capital Group Inc","40.28","$1.05B","n/a","Finance","Finance Companies","http://www.nasdaq.com/symbol/ecpg"
"WIRE","Encore Wire Corporation","45.33","$939.65M","1992","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/wire"
"ENDP","Endo International plc","85.05","$15.2B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/endp"
"ECYT","Endocyte, Inc.","5.99","$251.14M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ecyt"
"ELGX","Endologix, Inc.","15.37","$1.04B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/elgx"
"EIGI","Endurance International Group Holdings, Inc.","19.18","$2.54B","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/eigi"
"WATT","Energous Corporation","8.215","$105.88M","2014","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/watt"
"EFOI","Energy Focus, Inc.","5.4392","$54.46M","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/efoi"
"ERII","Energy Recovery, Inc.","2.91","$151.22M","2008","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/erii"
"EXXI","Energy XXI Ltd.","4.22","$398.32M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/exxi"
"ENOC","EnerNOC, Inc.","12.86","$390.93M","2007","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/enoc"
"ENG","ENGlobal Corporation","1.68","$47.08M","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eng"
"ENPH","Enphase Energy, Inc.","12.75","$559.94M","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/enph"
"ESGR","Enstar Group Limited","142.4","$2.74B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/esgr"
"ENFC","Entegra Financial Corp.","15.905","$104.12M","2014","Finance","Banks","http://www.nasdaq.com/symbol/enfc"
"ENTG","Entegris, Inc.","13.41","$1.88B","2000","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/entg"
"ENTL","Entellus Medical, Inc.","27.32","$510.32M","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/entl"
"ETRM","EnteroMedics Inc.","1.14","$84.82M","2007","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/etrm"
"EBTC","Enterprise Bancorp Inc","21.42","$219.68M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ebtc"
"EFSC","Enterprise Financial Services Corporation","20.63","$413.06M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/efsc"
"EGT","Entertainment Gaming Asia Incorporated","2.14","$30.97M","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/egt"
"ENVI","Envivio, Inc.","1.88","$52.12M","2012","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/envi"
"ENZN","Enzon Pharmaceuticals, Inc.","1.34","$59.2M","1984","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/enzn"
"ENZY          ","Enzymotec Ltd.","8.87","$199.42M","2013","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/enzy          "
"EPIQ","EPIQ Systems, Inc.","18.01","$671.48M","1997","Technology","EDP Services","http://www.nasdaq.com/symbol/epiq"
"EPRS","EPIRUS Biopharmaceuticals, Inc.","6.43","$151.2M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eprs"
"EPZM","Epizyme, Inc.","15.99","$658.86M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epzm"
"PLUS","ePlus inc.","85.54","$632.17M","1996","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/plus"
"EQIX","Equinix, Inc.","258.88","$14.74B","2000","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eqix"
"EAC           ","Erickson Incorporated","3.77","$52.12M","2012","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/eac           "
"ERIC","Ericsson","10.98","$36.29B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/eric"
"ERIE","Erie Indemnity Company","80.11","$3.7B","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/erie"
"ESCA","Escalade, Incorporated","18.3","$256.78M","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/esca"
"ESCR","Escalera Resources Co.","0.2901","$4.14M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/escr"
"ESCRP","Escalera Resources Co.","3.7899","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/escrp"
"ESMC","Escalon Medical Corp.","1.39","$10.46M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/esmc"
